iter	Passed	Remaining
0	98	1976542
1	187	1873147
2	286	1907221
3	368	1839799
4	451	1803585
5	533	1778393
6	619	1768629
7	699	1748190
8	785	1744091
9	871	1741878
10	959	1744158
11	1035	1724863
12	1110	1707430
13	1182	1687549
14	1262	1682363
15	1343	1678100
16	1430	1681392
17	1512	1678551
18	1590	1672956
19	1672	1671316
20	1762	1676548
21	1834	1665963
22	1915	1663852
23	1993	1659347
24	2064	1649679
25	2145	1648589
26	2240	1657503
27	2313	1650463
28	2385	1642649
29	2468	1643052
30	2541	1637407
31	2620	1635280
32	2699	1633598
33	2777	1631079
34	2854	1628427
35	2945	1633615
36	3033	1636446
37	3122	1640267
38	3184	1629888
39	3265	1629430
40	3365	1638205
41	3436	1632764
42	3504	1626511
43	3587	1627124
44	3683	1633215
45	3749	1626637
46	3830	1626189
47	3917	1628370
48	3999	1628544
49	4081	1628373
50	4178	1634469
51	4268	1637478
52	4361	1641346
53	4438	1639370
54	4529	1642444
55	4601	1638785
56	4679	1637330
57	4747	1632347
58	4840	1636136
59	4916	1633914
60	5011	1638020
61	5090	1636965
62	5158	1632520
63	5238	1631802
64	5317	1630694
65	5395	1629686
66	5483	1631275
67	5564	1630967
68	5646	1630965
69	5711	1626226
70	5790	1625296
71	5881	1627979
72	5968	1629105
73	6042	1627091
74	6121	1626285
75	6199	1625348
76	6281	1625376
77	6363	1625190
78	6452	1627021
79	6533	1626893
80	6624	1629124
81	6717	1631590
82	6810	1634243
83	6895	1634843
84	6987	1637021
85	7069	1637019
86	7159	1638813
87	7244	1639195
88	7333	1640578
89	7415	1640545
90	7513	1643855
91	7601	1644949
92	7690	1646128
93	7768	1645198
94	7858	1646560
95	7951	1648520
96	8041	1650053
97	8131	1651448
98	8210	1650544
99	8300	1651802
100	8390	1653160
101	8484	1655198
102	8569	1655469
103	8649	1654668
104	8744	1656805
105	8832	1657710
106	8921	1658639
107	9007	1659119
108	9079	1656867
109	9170	1658167
110	9243	1656175
111	9317	1654577
112	9395	1653607
113	9487	1655067
114	9562	1653529
115	9640	1652508
116	9745	1656091
117	9845	1658953
118	9948	1662018
119	10033	1662217
120	10133	1664886
121	10223	1665804
122	10294	1663684
123	10370	1662329
124	10460	1663204
125	10534	1661655
126	10634	1664088
127	10723	1664839
128	10803	1664087
129	10889	1664478
130	10987	1666488
131	11079	1667593
132	11161	1667306
133	11248	1667618
134	11328	1666993
135	11405	1665945
136	11480	1664511
137	11567	1664815
138	11656	1665472
139	11739	1665372
140	11825	1665565
141	11914	1666198
142	11998	1666070
143	12089	1667062
144	12183	1668246
145	12266	1668011
146	12355	1668679
147	12442	1668936
148	12536	1670231
149	12619	1669977
150	12707	1670344
151	12809	1672638
152	12911	1674903
153	12984	1673330
154	13067	1673112
155	13160	1674038
156	13249	1674534
157	13343	1675715
158	13418	1674385
159	13501	1674209
160	13599	1675813
161	13674	1674531
162	13753	1673747
163	13839	1673872
164	13919	1673246
165	14009	1673878
166	14105	1675193
167	14206	1677042
168	14293	1677280
169	14382	1677731
170	14485	1679698
171	14577	1680443
172	14654	1679510
173	14744	1680047
174	14827	1679690
175	14916	1680153
176	15017	1681843
177	15104	1682027
178	15181	1681129
179	15271	1681574
180	15363	1682313
181	15446	1681946
182	15535	1682317
183	15636	1683974
184	15735	1685391
185	15824	1685746
186	15927	1687532
187	16000	1686162
188	16106	1688261
189	16197	1688832
190	16289	1689468
191	16384	1690326
192	16466	1689948
193	16554	1690075
194	16628	1688829
195	16733	1690755
196	16832	1692040
197	16924	1692570
198	17028	1694335
199	17116	1694580
200	17213	1695604
201	17306	1696228
202	17398	1696718
203	17486	1696885
204	17573	1696911
205	17638	1694872
206	17729	1695222
207	17807	1694447
208	17883	1693414
209	17972	1693717
210	18051	1692951
211	18150	1694167
212	18249	1695275
213	18332	1694998
214	18415	1694630
215	18503	1694786
216	18605	1696179
217	18697	1696640
